question,answer
What is the I chord in C major?,C major
What is the ii chord in C major?,D minor
What is the iii chord in C major?,E minor
What is the IV chord in C major?,F major
What is the V chord in C major?,G major
What is the vi chord in C major?,A minor
What is the vii° chord in C major?,B diminished
What is the I chord in G major?,G major
What is the ii chord in G major?,A minor
What is the iii chord in G major?,B minor
What is the IV chord in G major?,C major
What is the V chord in G major?,D major
What is the vi chord in G major?,E minor
What is the vii° chord in G major?,F# diminished
What is the I chord in D major?,D major
What is the ii chord in D major?,E minor
What is the iii chord in D major?,F# minor
What is the IV chord in D major?,G major
What is the V chord in D major?,A major
What is the vi chord in D major?,B minor
What is the vii° chord in D major?,C# diminished
What is the I chord in A major?,A major
What is the ii chord in A major?,B minor
What is the iii chord in A major?,C# minor
What is the IV chord in A major?,D major
What is the V chord in A major?,E major
What is the vi chord in A major?,F# minor
What is the vii° chord in A major?,G# diminished
What is the I chord in E major?,E major
What is the ii chord in E major?,F# minor
What is the iii chord in E major?,G# minor
What is the IV chord in E major?,A major
What is the V chord in E major?,B major
What is the vi chord in E major?,C# minor
What is the vii° chord in E major?,D# diminished
What is the I chord in B major?,B major
What is the ii chord in B major?,C# minor
What is the iii chord in B major?,D# minor
What is the IV chord in B major?,E major
What is the V chord in B major?,F# major
What is the vi chord in B major?,G# minor
What is the vii° chord in B major?,A# diminished
What is the I chord in F# major?,F# major
What is the ii chord in F# major?,G# minor
What is the iii chord in F# major?,A# minor
What is the IV chord in F# major?,B major
What is the V chord in F# major?,C# major
What is the vi chord in F# major?,D# minor
What is the vii° chord in F# major?,F diminished
What is the I chord in Db major?,Db major
What is the ii chord in Db major?,Eb minor
What is the iii chord in Db major?,F minor
What is the IV chord in Db major?,Gb major
What is the V chord in Db major?,Ab major
What is the vi chord in Db major?,Bb minor
What is the vii° chord in Db major?,C diminished
What is the I chord in Ab major?,Ab major
What is the ii chord in Ab major?,Bb minor
What is the iii chord in Ab major?,C minor
What is the IV chord in Ab major?,Db major
What is the V chord in Ab major?,Eb major
What is the vi chord in Ab major?,F minor
What is the vii° chord in Ab major?,G diminished
What is the I chord in Eb major?,Eb major
What is the ii chord in Eb major?,F minor
What is the iii chord in Eb major?,G minor
What is the IV chord in Eb major?,Ab major
What is the V chord in Eb major?,Bb major
What is the vi chord in Eb major?,C minor
What is the vii° chord in Eb major?,D diminished
What is the I chord in Bb major?,Bb major
What is the ii chord in Bb major?,C minor
What is the iii chord in Bb major?,D minor
What is the IV chord in Bb major?,Eb major
What is the V chord in Bb major?,F major
What is the vi chord in Bb major?,G minor
What is the vii° chord in Bb major?,A diminished
What is the I chord in F major?,F major
What is the ii chord in F major?,G minor
What is the iii chord in F major?,A minor
What is the IV chord in F major?,Bb major
What is the V chord in F major?,C major
What is the vi chord in F major?,D minor
What is the vii° chord in F major?,E diminished
